input,soe-vinorm,vinorm,sea-g2p,NeMo
"Tổng thống Trump nói thỏa thuận hòa bình giữa Washington và Tehran đang ""rất gần"", thêm rằng Iran đã đồng ý bàn giao kho uranium làm giàu.","Tổng thống Trump nói thỏa thuận hòa bình giữa Washington và Tehran đang rất gần , thêm rằng Iran đã đồng ý bàn giao kho uranium làm giàu .","tổng thống trump nói thỏa thuận hòa bình giữa washington và tehran đang rất gần , thêm rằng iran đã đồng ý bàn giao kho uranium làm giàu .. ","tổng thống trump nói thỏa thuận hòa bình giữa washington và tehran đang rất gần, thêm rằng iran đã đồng ý bàn giao kho uranium làm giàu.","Tổng thống Trump nói thỏa thuận hòa bình giữa Washington và Tehran đang rất gần, thêm rằng Iran đã đồng ý bàn giao kho uranium làm giàu."
mức 3 triệu đồng/tháng/người,mức ba triệu đồng trên tháng trên người,"mức ba triệu đồng , tháng , người. ",mức ba triệu đồng trên tháng trên người,mức ba triệu đồng trên tháng trên người
"giao/nhận, mức lương cơ sở/trẻ/tháng","giao trên nhận , mức lương cơ sở trên trẻ trên tháng","giao , nhận , mức lương cơ sở , trẻ , tháng. ","giao trên nhận, mức lương cơ sở trên trẻ trên tháng","giao trên nhận, mức lương cơ sở trên trẻ trên tháng"
"32,4% 32.4% 32.4 % 32,4 %",ba mươi hai phẩy bốn phần trăm ba mươi hai chấm bốn phần trăm ba mươi hai chấm bốn phần trăm ba mươi hai phẩy bốn phần trăm,ba mươi hai phẩy bốn phần trăm ba mươi hai phẩy bốn phần trăm ba mươi hai phẩy bốn phần trăm ba mươi hai phẩy bốn phần trăm. ,ba mươi hai phẩy bốn phần trăm ba mươi hai chấm bốn phần trăm ba mươi hai chấm bốn phần trăm ba mươi hai phẩy bốn phần trăm,ba mươi hai phẩy bốn phần trăm ba mươi hai phẩy bốn phần trăm ba mươi hai phẩy bốn phần trăm ba mươi hai phẩy bốn phần trăm
"Giá vàng giao ngay giảm 0,27% xuống còn 1.241,91 USD/ounce trong khi giá vàng giao trong tháng 8 giảm 3,5 USD xuống còn 1.242,3 USD/ounce.",Giá vàng giao ngay giảm không phẩy hai bảy phần trăm xuống còn một nghìn hai trăm bốn mươi mốt phẩy chín một USD/ounce trong khi giá vàng giao trong tháng tám giảm ba phẩy năm U Ét Đê xuống còn một nghìn hai trăm bốn mươi hai phẩy ba u ét đê trên ao .,giá vàng giao ngay giảm không phẩy hai mươi bảy phần trăm xuống còn một nghìn hai trăm bốn mươi mốt phẩy chín mươi mốt diu ét đi một ao trong khi giá vàng giao trong tháng tám giảm ba phẩy năm usd xuống còn một nghìn hai trăm bốn mươi hai phẩy ba diu ét đi một ao .. ,giá vàng giao ngay giảm không phẩy hai bảy phần trăm xuống còn một nghìn hai trăm bốn mươi mốt phẩy chín một <en>u s d</en> trên ounce trong khi giá vàng giao trong tháng tám giảm ba phẩy năm <en>u s d</en> xuống còn một nghìn hai trăm bốn mươi hai phẩy ba <en>u s d</en> trên ounce.,"Giá vàng giao ngay giảm không phẩy hai mươi bảy phần trăm xuống còn một nghìn hai trăm bốn mươi mốt phẩy chín mươi mốt u ét dê, o u nờ xê e trong khi giá vàng giao trong tháng tám giảm ba phẩy năm đô la xuống còn một nghìn hai trăm bốn mươi hai phẩy ba u ét dê, o u nờ xê e."
từ 24/1-6/2,từ hai mươi tư tháng một đến ngày sáu tháng hai,từ hai mươi tư tháng một đến sáu tháng hai. ,từ hai mươi bốn trên một sáu trên hai,từ ngày hai mươi tư tháng một đến ngày sáu tháng hai
mức lương cơ sở/trẻ/tháng,mức lương cơ sở trên trẻ trên tháng,"mức lương cơ sở , trẻ , tháng. ",mức lương cơ sở trên trẻ trên tháng,mức lương cơ sở trên trẻ trên tháng
Thông tư 64/2017,Thông tư sáu mươi tư / hai nghìn không trăm mười bảy,"thông tư sáu mươi tư , hai nghìn không trăm mười bảy. ",thông tư sáu mươi bốn trên hai nghìn không trăm mười bảy,"Thông tư sáu mươi tư, hai nghìn không trăm mười bảy"
Bộ Công an vừa ban hành Thông tư 64/2017/TT-BCA sửa đổi,Bộ Công an vừa ban hành Thông tư sáu mươi tư / hai nghìn không trăm mười bảy / Tê Tê - Bê Xê A sửa đổi,"bộ công an vừa ban hành thông tư sáu mươi tư , hai nghìn không trăm mười bảy xuyệt tt bê xê a sửa đổi. ",bộ công an vừa ban hành thông tư sáu mươi bốn trên hai nghìn không trăm mười bảy trên <en>t t</en> <en>b c a</en> sửa đổi,"Bộ Công an vừa ban hành Thông tư sáu mươi tư, hai nghìn không trăm mười bảy, tê tê, bê xê a sửa đổi"
từ 12.2.2018 đến 13/5/2008.,từ mười hai tháng hai năm hai nghìn không trăm mười tám đến mười ba tháng năm năm hai nghìn không trăm linh tám .,từ mười hai tháng hai năm hai nghìn không trăm mười tám đến mười ba tháng năm năm hai nghìn không trăm linh tám .. ,từ ngày mười hai tháng hai năm hai nghìn không trăm mười tám đến ngày mười ba tháng năm hai nghìn không trăm lẻ tám.,từ ngày mười hai tháng hai năm hai nghìn không trăm mười tám đến ngày mười ba tháng năm năm hai nghìn không trăm linh tám.
