input,soe-vinorm,Viphoneme,sea-g2p,NeMo
Tôi có 25 quyển sách.,tôi có hai mươi lăm quyển sách .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],tôi có hai mươi lăm quyển sách.,[ERROR: Language vi has not been supported yet.]
Kết quả là 3.14.,kết quả là ba phẩy mười bốn .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],kết quả là ba chấm một bốn.,[ERROR: Language vi has not been supported yet.]
Số tài khoản là 123456789.,số tài khoản là một trăm hai mươi ba triệu bốn trăm năm mươi sáu nghìn bảy trăm tám mươi chín .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],số tài khoản là một hai ba bốn năm sáu bảy tám chín.,[ERROR: Language vi has not been supported yet.]
Đây là lần thứ 2 tôi đến đây.,đây là lần thứ hai tôi đến đây .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],đây là lần thứ hai tôi đến đây.,[ERROR: Language vi has not been supported yet.]
Tôi học lớp 10A.,tôi học lớp mười a. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],tôi học lớp mười a.,[ERROR: Language vi has not been supported yet.]
Sự kiện diễn ra năm 2024.,sự kiện diễn ra năm hai nghìn không trăm hai mươi tư .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],sự kiện diễn ra năm hai nghìn không trăm hai mươi bốn.,[ERROR: Language vi has not been supported yet.]
Sinh nhật tôi là 01-05-2000.,sinh nhật tôi là một tháng năm năm hai nghìn .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],sinh nhật tôi là ngày một tháng năm hai nghìn.,[ERROR: Language vi has not been supported yet.]
Ngày 10/2,ngày mười tháng hai. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],ngày mười tháng hai,[ERROR: Language vi has not been supported yet.]
Hẹn gặp lúc 7h45.,hẹn gặp lúc bảy giờ bốn mươi lăm .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],hẹn gặp lúc bảy giờ bốn mươi lăm phút.,[ERROR: Language vi has not been supported yet.]
Cuộc họp lúc 14:30.,cuộc họp lúc mười bốn giờ ba mươi .. ,[ERROR: cannot import name 'Viphoneme' from 'viphoneme' (/home/nampv1/anaconda3/envs/asr/lib/python3.11/site-packages/viphoneme/__init__.py)],cuộc họp lúc mười bốn giờ ba mươi phút.,[ERROR: Language vi has not been supported yet.]
